Chrom.1		
UV		
ml	mAU	
0	-0.8936033	
0.001	-0.8959603	
0.002	-0.8934245	
0.003	-0.893988	
0.004	-0.8940574	
0.004	-0.8936364	
0.005	-0.8933619	
0.006	-0.8937762	
0.007	-0.8939772	
0.008	-0.8935146	
0.009	-0.8930923	
0.009	-0.8928847	
0.01	-0.8927191	
0.011	-0.8927053	
0.012	-0.8925341	
0.013	-0.8931226	
0.014	-0.8940512	
0.014	-0.8957465	
0.015	-0.8960609	
0.016	-0.8969863	
0.017	-0.8979284	
0.018	-0.8979211	
0.019	-0.8995267	
0.019	-0.9009816	
0.02	-0.8993347	
0.021	-0.8972392	
0.022	-0.8957576	
0.023	-0.8961399	
0.024	-0.8958837	
0.024	-0.8957434	
0.025	-0.896801	
0.026	-0.8969977	
0.027	-0.8948227	
0.028	-0.8937607	
0.029	-0.8941896	
0.029	-0.8943777	
0.03	-0.8936731	
0.031	-0.8932586	
0.032	-0.8914307	
0.033	-0.8922706	
0.034	-0.8916537	
0.034	-0.8921303	
0.035	-0.8896251	
0.036	-0.8878738	
0.037	-0.8871343	
0.038	-0.8860861	
0.039	-0.885524	
0.039	-0.8842075	
0.04	-0.8837561	
0.041	-0.885114	
0.042	-0.8853622	
0.043	-0.8867376	
0.044	-0.8890015	
0.044	-0.8890187	
0.045	-0.8882495	
0.046	-0.8885627	
0.047	-0.8877573	
0.048	-0.8887906	
0.048	-0.8901042	
0.049	-0.890105	
0.05	-0.8919945	
0.051	-0.8942197	
0.052	-0.8954859	
0.053	-0.8972968	
0.053	-0.8989853	
0.054	-0.90088	
0.055	-0.9021182	
0.056	-0.9044232	
0.057	-0.9076446	
0.058	-0.9105417	
0.058	-0.913406	
0.059	-0.9151216	
0.06	-0.9157631	
0.061	-0.9157618	
0.062	-0.9158738	
0.063	-0.9175613	
0.063	-0.9189843	
0.064	-0.9204227	
0.065	-0.9221322	
0.066	-0.9237474	
0.067	-0.9227948	
0.068	-0.9233092	
0.068	-0.924404	
0.069	-0.92575	
0.07	-0.9288279	
0.071	-0.9289809	
0.072	-0.9288804	
0.073	-0.9298693	
0.073	-0.9294571	
0.074	-0.9277227	
0.075	-0.928319	
0.076	-0.9274698	
0.077	-0.9267372	
0.078	-0.9253808	
0.078	-0.9243912	
0.079	-0.9230478	
0.08	-0.9213909	
0.081	-0.9209439	
0.082	-0.9208608	
0.083	-0.9201939	
0.083	-0.9206198	
0.084	-0.9204599	
0.085	-0.9191214	
0.086	-0.918359	
0.087	-0.9187856	
0.088	-0.9192361	
0.088	-0.9175842	
0.089	-0.9151936	
0.09	-0.9124159	
0.091	-0.9097107	
0.092	-0.9097726	
0.093	-0.9104898	
0.093	-0.9095978	
0.094	-0.9103889	
0.095	-0.9100181	
0.096	-0.909475	
0.097	-0.9101211	
0.098	-0.910916	
0.098	-0.9117599	
0.099	-0.911508	
0.1	-0.9102768	
0.101	-0.9109768	
0.102	-0.9118031	
0.103	-0.9116416	
0.103	-0.9127308	
0.104	-0.9112744	
0.105	-0.9090469	
0.106	-0.9090744	
0.107	-0.9089497	
0.108	-0.9092812	
0.108	-0.9094899	
0.109	-0.9108319	
0.11	-0.9119015	
0.111	-0.912099	
0.112	-0.9133253	
0.113	-0.9121633	
0.113	-0.9105488	
0.114	-0.9107615	
0.115	-0.9113662	
0.116	-0.9124743	
0.117	-0.9118182	
0.118	-0.9114101	
0.118	-0.9098796	
