Chrom.1		
UV		
ml	mAU	
0	-0.5874413	
0.001	-0.5861066	
0.002	-0.5864229	
0.003	-0.5872867	
0.004	-0.5869981	
0.004	-0.5860573	
0.005	-0.5856805	
0.006	-0.5853441	
0.007	-0.5844598	
0.008	-0.5837226	
0.009	-0.5835016	
0.009	-0.5848129	
0.01	-0.5874057	
0.011	-0.5886003	
0.012	-0.588932	
0.013	-0.5889102	
0.014	-0.5882482	
0.014	-0.5883172	
0.015	-0.588028	
0.016	-0.5879428	
0.017	-0.5886908	
0.018	-0.5887682	
0.019	-0.5883295	
0.019	-0.587374	
0.02	-0.5860164	
0.021	-0.5847251	
0.022	-0.5847057	
0.023	-0.5856192	
0.024	-0.5857871	
0.024	-0.5854152	
0.025	-0.5848319	
0.026	-0.5836892	
0.027	-0.5827303	
0.028	-0.5822241	
0.029	-0.5821612	
0.029	-0.5823857	
0.03	-0.5821978	
0.031	-0.5814079	
0.032	-0.5798015	
0.033	-0.5796943	
0.034	-0.5792445	
0.034	-0.5794179	
0.035	-0.5799243	
0.036	-0.5807868	
0.037	-0.5806023	
0.038	-0.5800418	
0.039	-0.5809739	
0.039	-0.5807605	
0.04	-0.5812539	
0.041	-0.5822237	
0.042	-0.5837288	
0.043	-0.5852857	
0.044	-0.5847417	
0.044	-0.5846831	
0.045	-0.5848026	
0.046	-0.5856269	
0.047	-0.5870122	
0.048	-0.5894648	
0.049	-0.5917155	
0.049	-0.5931304	
0.05	-0.5935591	
0.051	-0.5933715	
0.052	-0.5928051	
0.053	-0.5934638	
0.054	-0.5949439	
0.054	-0.5968003	
0.055	-0.5981379	
0.056	-0.5983371	
0.057	-0.5991217	
0.058	-0.6010613	
0.059	-0.6021829	
0.059	-0.6029472	
0.06	-0.6039483	
0.061	-0.6032455	
0.062	-0.6028699	
0.063	-0.603645	
0.064	-0.6041014	
0.064	-0.6050462	
0.065	-0.6056935	
0.066	-0.6059193	
0.067	-0.6075156	
0.068	-0.6090837	
0.069	-0.6077881	
0.069	-0.6060982	
0.07	-0.6060959	
0.071	-0.6067539	
0.072	-0.6073777	
0.073	-0.6078497	
0.074	-0.6075673	
0.074	-0.6061506	
0.075	-0.6052865	
0.076	-0.6052833	
0.077	-0.6050919	
0.078	-0.6047941	
0.079	-0.6046177	
0.079	-0.6050659	
0.08	-0.6049084	
0.081	-0.605175	
0.082	-0.6070964	
0.083	-0.6085417	
0.084	-0.6074423	
0.084	-0.6056915	
0.085	-0.6037689	
0.086	-0.60445	
