Chrom.1		
UV		
ml	mAU	
0.001	-0.2609681	
0.002	-0.2621226	
0.002	-0.2623539	
0.003	-0.2626012	
0.004	-0.2619103	
0.005	-0.2613326	
0.006	-0.2609839	
0.007	-0.2632154	
0.007	-0.2642252	
0.008	-0.2639208	
0.009	-0.2637634	
0.01	-0.265754	
0.011	-0.2673078	
0.012	-0.2668996	
0.012	-0.2657434	
0.013	-0.2677695	
0.014	-0.2676251	
0.015	-0.266622	
0.016	-0.267397	
0.017	-0.268811	
0.017	-0.2695874	
0.018	-0.2702253	
0.019	-0.2705334	
0.02	-0.2713472	
0.021	-0.2716429	
0.022	-0.2708426	
0.022	-0.271431	
0.023	-0.2727936	
0.024	-0.2730599	
0.025	-0.2735223	
0.026	-0.273301	
0.027	-0.2727762	
0.027	-0.2722042	
0.028	-0.2736418	
0.029	-0.2733814	
0.03	-0.2733465	
0.031	-0.2717711	
0.032	-0.2727959	
0.032	-0.2737465	
0.033	-0.2749315	
0.034	-0.2754777	
0.035	-0.2784305	
0.036	-0.2807179	
0.037	-0.2838053	
0.037	-0.2881081	
0.038	-0.2921734	
0.039	-0.2945529	
0.04	-0.297654	
0.041	-0.3013388	
0.042	-0.3045924	
0.042	-0.3098442	
0.043	-0.3145334	
0.044	-0.3164899	
0.045	-0.3193205	
0.046	-0.323691	
0.047	-0.3272345	
0.047	-0.3333965	
0.048	-0.337971	
0.049	-0.3428792	
0.05	-0.3492044	
0.051	-0.3553925	
0.052	-0.3618012	
0.052	-0.3651173	
0.053	-0.3701285	
0.054	-0.3735115	
0.055	-0.3767683	
0.056	-0.3797212	
0.057	-0.3824003	
0.057	-0.3852445	
0.058	-0.3864948	
0.059	-0.3867086	
0.06	-0.3891249	
0.061	-0.3904012	
0.062	-0.3920561	
0.062	-0.3931986	
0.063	-0.3926754	
0.064	-0.3922881	
0.065	-0.3939534	
0.066	-0.3955192	
0.067	-0.3972313	
0.067	-0.3991906	
0.068	-0.3989431	
0.069	-0.3988674	
0.07	-0.3983452	
0.071	-0.3972911	
0.072	-0.3946684	
0.072	-0.3938535	
0.073	-0.3929106	
0.074	-0.3915698	
0.075	-0.3923161	
0.076	-0.3915993	
0.077	-0.3905983	
0.077	-0.3909162	
0.078	-0.3905018	
0.079	-0.389503	
0.08	-0.3894968	
0.081	-0.3892575	
0.082	-0.3897517	
0.082	-0.3896758	
0.083	-0.3896914	
0.084	-0.3901689	
0.085	-0.3916166	
0.086	-0.3919566	
0.087	-0.3916957	
0.087	-0.3906218	
0.088	-0.390085	
0.089	-0.3903481	
0.09	-0.3898584	
0.091	-0.3901951	
0.092	-0.3911824	
0.092	-0.3930535	
0.093	-0.3937465	
0.094	-0.3953908	
0.095	-0.3961861	
0.096	-0.3950366	
0.097	-0.3968587	
0.097	-0.3976657	
0.098	-0.3984374	
0.099	-0.4000874	
0.1	-0.4012366	
0.101	-0.4029195	
0.102	-0.4025641	
0.102	-0.4010742	
0.103	-0.4000206	
0.104	-0.4018428	
0.105	-0.403922	
0.106	-0.4047518	
0.107	-0.4068535	
0.107	-0.4086552	
0.108	-0.4106624	
0.109	-0.4124304	
0.11	-0.4131275	
0.111	-0.415775	
0.112	-0.4178898	
0.112	-0.4196669	
0.113	-0.4215198	
0.114	-0.4230136	
0.115	-0.4251925	
0.116	-0.4271357	
0.117	-0.4295015	
0.117	-0.4307406	
0.118	-0.434419	
0.119	-0.4366333	
0.12	-0.4373055	
0.121	-0.4386218	
0.122	-0.4393382	
0.122	-0.4422801	
0.123	-0.4475441	
0.124	-0.4517458	
0.125	-0.4545629	
0.126	-0.455667	
0.127	-0.4567351	
0.127	-0.4584017	
0.128	-0.4611045	
0.129	-0.4629219	
0.13	-0.46342	
0.131	-0.4645377	
0.132	-0.4655343	
0.132	-0.4678608	
0.133	-0.470639	
0.134	-0.4729405	
0.135	-0.4756975	
0.136	-0.4772058	
0.137	-0.4791833	
0.137	-0.4815048	
0.138	-0.4836991	
0.139	-0.4866081	
0.14	-0.4889838	
0.141	-0.4899921	
0.142	-0.4919631	
