Chrom.1		
UV		
ml	mAU	
0.001	-0.05002851	
0.002	-0.05188043	
0.002	-0.05189503	
0.003	-0.05116006	
0.004	-0.05176809	
0.005	-0.05229958	
0.006	-0.05257085	
0.007	-0.05364936	
0.007	-0.05237687	
0.008	-0.05284997	
0.009	-0.05374667	
0.01	-0.05181922	
0.011	-0.05333776	
0.012	-0.05264608	
0.012	-0.05124357	
0.013	-0.05017176	
0.014	-0.04916377	
0.015	-0.05071212	
0.016	-0.04901571	
0.017	-0.04750181	
0.017	-0.04741842	
0.018	-0.04778819	
0.019	-0.04668918	
0.02	-0.04619301	
0.021	-0.04682605	
0.022	-0.04682746	
0.022	-0.04750606	
0.023	-0.04828458	
0.024	-0.04951375	
0.025	-0.04999621	
0.026	-0.04898021	
0.026	-0.05019153	
0.027	-0.05007404	
0.028	-0.0503998	
0.029	-0.04828802	
0.03	-0.049407	
0.031	-0.04859931	
0.031	-0.04733438	
0.032	-0.04580785	
0.033	-0.04745182	
0.034	-0.0468362	
0.035	-0.04682599	
0.036	-0.045752	
0.036	-0.04674242	
0.037	-0.04646448	
0.038	-0.04624383	
0.039	-0.04701987	
0.04	-0.04831369	
0.041	-0.05021973	
0.041	-0.05180012	
0.042	-0.05221054	
0.043	-0.05399515	
0.044	-0.05599844	
0.045	-0.05733702	
0.046	-0.05893698	
0.046	-0.06328394	
0.047	-0.06538259	
0.048	-0.06776045	
0.049	-0.0726757	
0.05	-0.07831848	
0.051	-0.08147677	
0.051	-0.08608813	
0.052	-0.09103192	
0.053	-0.09645545	
0.054	-0.100489	
0.055	-0.1053627	
0.055	-0.1108469	
0.056	-0.1163325	
0.057	-0.1209305	
0.058	-0.1247989	
0.059	-0.1287239	
0.06	-0.1322935	
0.06	-0.1349997	
0.061	-0.1365051	
0.062	-0.1378882	
0.063	-0.1406617	
0.064	-0.1429204	
0.065	-0.1448578	
0.065	-0.1456153	
0.066	-0.1473372	
0.067	-0.1477942	
0.068	-0.1494881	
0.069	-0.1508046	
0.07	-0.1502581	
0.07	-0.1481061	
0.071	-0.1483403	
0.072	-0.1477088	
0.073	-0.1471318	
0.074	-0.1465632	
0.075	-0.1457588	
0.075	-0.1452334	
0.076	-0.1452705	
0.077	-0.1447879	
0.078	-0.1446628	
0.079	-0.1448301	
0.08	-0.1446075	
0.08	-0.1442727	
0.081	-0.1441817	
0.082	-0.1443495	
0.083	-0.1445501	
0.084	-0.1442398	
0.085	-0.1424833	
0.085	-0.140897	
0.086	-0.1421305	
0.087	-0.1425228	
0.088	-0.1427987	
0.089	-0.1418925	
0.089	-0.1414052	
0.09	-0.141378	
0.091	-0.1417006	
0.092	-0.1422885	
0.093	-0.1412093	
0.094	-0.1403698	
0.094	-0.1402312	
